,RK,Player,Team,,,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA
2,3,"Bird, G",NYY,,595885,1B,23,51,12,23,7,1,8,15,12,10,0,0,.451,.556,1.098,1.654,0,0,0,0,56,16,0,6,12,0.50,140,63
8,9,"Sanchez, G",NYY,,596142,C,19,51,12,19,5,0,5,16,5,9,1,0,.373,.429,.765,1.193,0,0,0,0,39,10,1,12,12,1.00,101,56
9,10,"Wade, T",NYY,,642180,SS,25,42,10,15,4,0,0,1,2,7,2,0,.357,.400,.452,.852,0,1,0,0,19,4,0,12,8,1.50,66,45
10,11,"Judge, A",NYY,,592450,RF,25,63,8,21,2,1,3,7,6,15,1,0,.333,.391,.540,.931,0,0,0,0,34,6,1,12,16,0.75,122,69
13,14,"Castro, S",NYY,,516770,2B,20,50,4,15,2,1,2,6,3,10,0,0,.300,.352,.500,.852,0,1,0,0,25,5,0,14,11,1.27,93,54
14,14,"Torreyes, R",NYY,,591720,2B,26,60,9,18,1,0,2,11,2,5,2,1,.300,.317,.417,.734,0,0,1,1,25,3,1,20,20,1.00,85,64
16,17,"Tejada, R",NYY,,514913,3B,24,35,9,10,2,0,1,5,3,3,0,0,.286,.366,.429,.794,0,2,0,1,15,3,1,12,12,1.00,56,41
17,18,"Holliday, M",NYY,,407812,DH,20,53,9,15,4,0,4,11,3,13,0,0,.283,.321,.585,.906,0,0,0,0,31,8,2,15,12,1.25,112,56
18,19,"Ellsbury, J",NYY,,453056,CF,19,50,11,14,2,0,1,5,3,3,4,1,.280,.333,.380,.713,0,1,0,0,19,3,1,18,16,1.13,76,54
19,20,"Frazier, C",NYY,,640449,CF,22,44,7,12,2,1,1,8,0,13,3,0,.273,.267,.432,.698,0,0,0,1,19,4,0,11,9,1.22,85,45
20,21,"Hicks, A",NYY,,543305,LF,25,56,14,15,3,1,3,7,10,9,2,1,.268,.379,.518,.897,0,0,0,0,29,7,1,19,14,1.36,131,66
21,22,"Romine, A",NYY,,519222,C,19,45,3,12,2,0,1,5,1,4,0,0,.267,.283,.378,.660,0,0,0,0,17,3,1,17,13,1.31,66,46
23,24,"Fowler, D",NYY,,641583,OF,24,39,4,9,1,2,0,6,5,11,5,0,.231,.304,.359,.663,0,0,0,2,14,3,0,3,18,0.17,85,46
24,25,"Refsnyder, R",NYY,,608701,1B,28,48,8,11,3,0,1,8,7,13,0,0,.229,.321,.354,.676,0,0,0,1,17,4,2,13,14,0.93,113,56
25,26,"Kozma, P",NYY,,518902,SS,27,41,7,9,2,0,0,3,4,12,1,1,.220,.289,.268,.557,0,0,0,0,11,2,0,11,9,1.22,92,45
28,29,"Gardner, B",NYY,,458731,LF,20,59,9,12,0,0,1,6,2,7,2,0,.203,.230,.254,.484,0,0,0,0,15,1,0,22,18,1.22,90,61
31,30,"Headley, C",NYY,,452104,3B,20,50,6,10,3,0,2,9,4,13,2,0,.200,.255,.380,.635,0,0,0,1,19,5,3,16,15,1.07,108,55
35,36,"Carter, C",NYY,,474892,1B,22,57,4,8,2,0,2,5,7,26,0,0,.140,.234,.281,.515,0,0,0,0,16,4,1,11,13,0.85,151,64
