,Player Name,Team
0,Aramis Nin Ramirez,Pittsburgh Pirates
1,Jose Miguel Cabrera,Detroit Tigers
2,José Dariel Abreu,Chicago White Sox
3,José Antonio Bautista,Toronto Blue Jays
4,Robinson Jose Canó,Seattle Mariners
5,Starlin DeJesus Castro,Miami Marlins
6,Yoenis Céspedes,New York Mets
7,Nelson Ramon Cruz,Seattle Mariners
8,Carlos Argelis Gómez,Tampa Bay Rays
9,Miguel Angel Montero,Washington Nationals
10,Salvador Johan Perez,Kansas City Royals
11,Yasiel Puig,Los Angeles Dodgers
12,José Carlos Altuve,Houston Astros
13,Erick Johan Aybar,Minnesota Twins
14,Adrian Beltre,Texas Rangers
